Value,Disaggregation combinations using this value,Number of indicators
Bicycle/motocycle,1,1
Bus,1,1
Lift club by a group of people sharing a private vehicle,1,1
Lift club by a group of people sharing private a vehicle,1,1
Minibus taxi/sedan taxi/bakkie taxi,1,1
Office is at home,1,1
Other (specify in the box),1,1
Own car/other private vehicle/company vehicle,1,1
Train,1,1
Unspecified,1,1
Walking,1,1
