Value,Disaggregation combinations using this value,Number of indicators
Boulders Beach,1,1
Kisternbosch National Botanical Gardens,1,1
Roben Island,1,1
Table Mountain Aerial Cableway,1,1
Table Mountain Park: Cape of Good hope,1,1
