Year,Value,Units
2016,10.7,Percent of Total Informal Employment
2017,11.4,Percent of Total Informal Employment
2018,11.3,Percent of Total Informal Employment
2019,12.4,Percent of Total Informal Employment
2020,10.4,Percent of Total Informal Employment
