Year,Units,Value
2016,Percent of Manufacturing Total Employment ,13.3
2017,Percent of Manufacturing Total Employment ,14.2
2018,Percent of Manufacturing Total Employment ,13.2
2019,Percent of Manufacturing Total Employment ,12.3
2020,Percent of Manufacturing Total Employment ,11.8
